+------------+----------+-------------------------------------------------------------------------------------------------+-------------------+
| ChapterNum | VerseNum |                                              Text                                               |       Metre       |
+------------+----------+-------------------------------------------------------------------------------------------------+-------------------+
| 1          | 1        | anādimadhyāntam{ }anantapāraṃ                                                                   | upajāti           |
| 1          | 1        | susūkṣmam{ }avyaktajagatsusāram|                                                                | upajāti           |
| 1          | 1        | harīndrabrahmādibhir{ }āsamagraṃ                                                                | upajāti           |
| 1          | 1        | praṇamya vakṣye vṛṣasārasaṃgraham||                                                             | upajāti           |
| 1          | 2        | śatasāhasrikaṃ granthaṃ sahasrādhyāyam{ }uttamam|                                               | anuṣṭubh          |
| 1          | 2        | parva cāsya śataṃ pūrṇaṃ śrutvā bhāratasaṃhitām||                                               | anuṣṭubh          |
| 1          | 3        | atṛptaḥ puna papraccha vaiśampāyanam{ }eva hi|                                                  | anuṣṭubh          |
| 1          | 3        | janamejaya yat{ }pūrvaṃ tac{ }chṛṇu tvam{ }atandritaḥ||                                         | anuṣṭubh          |
| 1          | 4        | janamejaya uvāca|*                                                                              | speakerindication |
| 1          | 4        | bhagavan{ }sarvadharmajña sarvaśāstraviśārada|                                                  | anuṣṭubh          |
| 1          | 4        | asti dharmaṃ paraṃ guhyaṃ saṃsārārṇavatāraṇam||                                                 | anuṣṭubh          |
| 1          | 5        | dvaipāyanamukhodgīrṇaṃ dharmaṃ vā yad{ }dvijottama|                                             | anuṣṭubh          |
| 1          | 5        | kathayasva hi me tṛptiṃ kuru yatnāt{ }tapodhana||                                               | anuṣṭubh          |
| 1          | 6        | vaiśampāyana uvāca|*                                                                            | speakerindication |
| 1          | 6        | śṛṇu rājann{ }avahito dharmākhyānam{ }anuttamam|                                                | anuṣṭubh          |
| 1          | 6        | vyāsānugrahasamprāptaṃ guhyadharmaṃ śṛṇotu me||                                                 | anuṣṭubh          |
| 1          | 7        | anarthayajñakartāraṃ tapovrataparāyaṇam|                                                        | anuṣṭubh          |
| 1          | 7        | śīlaśaucasamācāraṃ sarvabhūtadayāparam||                                                        | anuṣṭubh          |
| 1          | 8        | jijñāsanārthaṃ praśnaikaṃ viṣṇunā prabhaviṣṇunā|                                                | anuṣṭubh          |
| 1          | 8        | dvijarūpadharo bhūtvā papraccha vinayānvitaḥ||                                                  | anuṣṭubh          |
| 1          | 9        | [vigatarāga uvāca|*]                                                                            | speakerindication |
| 1          | 9        | brahmavidyā kathaṃ jñeyā rūpavarṇavivarjitā|                                                    | anuṣṭubh          |
| 1          | 9        | svaravyañjananirmuktam{ }akṣaraṃ kimu tat{ }param||                                             | anuṣṭubh          |
| 1          | 10       | anarthayajña uvāca|*                                                                            | speakerindication |
